PrimaryPropertyType,Neighborhood,LargestPropertyUseType,ComplianceStatus,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),LargestPropertyUseTypeGFA,ENERGYSTARScore,SourceEUIWN(kBtu/sf),SiteEnergyUseWN(kBtu),TotalGHGEmissions,GHGEmissionsIntensity,BuildingAge
other,GREATER DUWAMISH,Other,Compliant,1.0,1,36000,0,36000,34000.0,,286.0,3823703.75,58.79,1.63,66
ktwelveschool,NORTHWEST,K-12 School,Compliant,1.0,2,23222,0,23222,15006.0,62.0,123.6999969,1331981.25,55.06,2.37,78
mixeduseproperty,EAST,Fitness Center/Health Club/Gym,Compliant,1.0,2,24476,0,24476,7501.0,,219.1000061,2800725.0,91.69,3.75,92
retailstore,EAST,Retail Store,Compliant,0.0,2,24750,0,24750,19240.0,,69.30000305,906960.625,28.07,1.13,106
ktwelveschool,EAST,K-12 School,Compliant,1.0,3,60000,0,60000,48783.0,52.0,150.3999939,3928621.25,121.63,2.03,112
other,EAST,Other - Entertainment/Public Assembly,Compliant,1.0,2,46560,0,46560,46560.0,,35.40000153,734550.6875,17.31,0.37,62
other,MAGNOLIA / QUEEN ANNE,Bank Branch,Compliant,1.0,3,30408,0,30408,25000.0,61.0,184.6000061,1469861.875,10.04,0.33,36
smallandmidsizedoffice,MAGNOLIA / QUEEN ANNE,Office,Compliant,1.0,3,30109,0,30109,28400.0,89.0,128.6999969,1589657.75,34.03,1.13,96
ktwelveschool,SOUTHWEST,K-12 School,Error - Correct Default Data,1.0,2,39929,0,39929,39929.0,82.0,110.6999969,2001873.25,47.18,1.18,52
smallandmidsizedoffice,MAGNOLIA / QUEEN ANNE,Office,Compliant,1.0,2,25481,0,25481,25481.0,92.0,61.40000153,1052797.5,38.59,1.51,56
smallandmidsizedoffice,LAKE UNION,Office,Compliant,1.0,2,27788,0,27788,32610.0,73.0,152.1999969,2127889.25,35.99,1.3,104
hotel,NORTHWEST,Hotel,Compliant,1.0,4,41704,8584,33120,41704.0,73.0,99.80000305,1974631.125,58.52,1.4,26
warehouse,GREATER DUWAMISH,Non-Refrigerated Warehouse,Compliant,1.0,2,22324,0,22324,21000.0,53.0,56.5,723060.1875,22.33,1.0,75
other,GREATER DUWAMISH,Other - Entertainment/Public Assembly,Compliant,1.0,2,31360,0,31360,32000.0,,135.5,1886366.625,39.65,1.26,70
mixeduseproperty,GREATER DUWAMISH,Retail Store,Compliant,1.0,1,30496,0,30496,14344.0,,154.3999939,2217613.5,46.01,1.51,69
smallandmidsizedoffice,EAST,Office,Compliant,1.0,3,27600,0,27600,13175.0,84.0,141.8000031,1103795.25,12.57,0.46,94
seniorcarecommunity,Northwest,Senior Care Community,Compliant,1.0,2,55974,0,55974,56000.0,98.0,222.1000061,6412428.0,203.21,3.63,55
ktwelveschool,GREATER DUWAMISH,K-12 School,Error - Correct Default Data,1.0,2,52901,0,52901,52901.0,75.0,102.1999969,2508012.0,60.2,1.14,45
seniorcarecommunity,NORTH,Senior Care Community,Compliant,1.0,1,22583,0,22583,22583.0,95.0,167.6000061,2123591.75,70.92,3.14,62
smallandmidsizedoffice,LAKE UNION,Office,Compliant,0.0,3,31686,7358,24328,25927.0,35.0,228.5,2305643.5,16.07,0.51,19
smallandmidsizedoffice,LAKE UNION,Office,Compliant,1.0,3,26694,6034,20660,24914.0,92.0,92.69999695,735909.0,5.02,0.19,35
warehouse,NORTHWEST,Non-Refrigerated Warehouse,Compliant,1.0,1,29400,0,29400,25000.0,69.0,28.60000038,227509.5,1.59,0.05,44
hotel,GREATER DUWAMISH,Hotel,Compliant,1.0,3,22452,0,22452,22452.0,85.0,110.5999985,1269576.0,41.88,1.87,24
other,NORTHEAST,Bank Branch,Compliant,1.0,2,25767,0,25767,17434.0,22.0,291.7999878,1620383.625,11.02,0.43,104
retailstore,NORTHEAST,Retail Store,Compliant,1.0,4,33910,0,33910,14585.0,75.0,158.5,1904055.75,38.21,1.13,63
worshipfacility,NORTHEAST,Worship Facility,Compliant,1.0,2,78401,0,78401,62400.0,,64.80000305,2846592.0,87.41,1.11,89
warehouse,LAKE UNION,Non-Refrigerated Warehouse,Compliant,1.0,2,78716,0,78716,41275.0,38.0,156.8999939,4311327.5,48.13,0.61,37
ktwelveschool,LAKE UNION,K-12 School,Compliant,1.0,2,33300,0,33300,30740.0,92.0,87.90000153,1903636.375,69.2,2.08,106
supermarketgrocerystore,LAKE UNION,Supermarket/Grocery Store,Compliant,1.0,1,28808,0,28808,31174.0,29.0,697.5,9450746.0,226.73,7.87,59
smallandmidsizedoffice,NORTHEAST,Office,Compliant,1.0,1,27966,7004,20962,20962.0,58.0,177.0,1181649.25,7.67,0.27,59
supermarketgrocerystore,NORTHEAST,Supermarket/Grocery Store,Compliant,1.0,1,26226,0,26226,25828.0,37.0,745.4000244,7798479.5,156.18,5.96,66
mixeduseproperty,NORTHEAST,Bank Branch,Compliant,1.0,2,34948,15755,19193,19183.0,17.0,200.1999969,1223177.375,8.09,0.23,40
smallandmidsizedoffice,LAKE UNION,Office,Compliant,1.0,3,37639,9999,27640,20434.0,,695.2999877999998,6197824.5,43.21,1.15,18
smallandmidsizedoffice,DOWNTOWN,Office,Error - Correct Default Data,1.0,4,22840,0,22840,18400.0,64.0,135.1000061,983053.375,6.14,0.27,116
other,DOWNTOWN,Museum,Compliant,1.0,1,21420,0,21420,10420.0,,119.6999969,812371.625,9.72,0.45,116
smallandmidsizedoffice,DOWNTOWN,Office,Compliant,1.0,1,20880,0,20880,20880.0,94.0,102.8000031,683274.0,4.76,0.23,116
mixeduseproperty,DOWNTOWN,Office,Compliant,1.0,3,26000,0,26000,13000.0,,108.9000015,1063035.875,18.62,0.72,50
smallandmidsizedoffice,DOWNTOWN,Office,Compliant,1.0,3,38675,0,38675,12100.0,,285.2999878,1956121.125,43.91,1.14,116
smallandmidsizedoffice,DOWNTOWN,Office,Compliant,1.0,4,49951,0,49951,32039.0,,185.5,5683758.0,185.33,3.71,87
medicaloffice,SOUTHEAST,Medical Office,Compliant,1.0,2,25880,0,25880,25880.0,8.0,225.1999969,1956483.5,19.81,0.77,6
worshipfacility,NORTHEAST,Worship Facility,Compliant,1.0,3,41013,0,41013,32098.0,,62.70000076,1191549.25,37.43,0.91,89
other,NORTHEAST,Social/Meeting Hall,Compliant,1.0,2,21075,0,21075,18075.0,,149.1000061,1715969.625,53.88,2.56,12
worshipfacility,NORTHEAST,Worship Facility,Compliant,1.0,3,46485,0,46485,63922.0,83.0,52.59999847,1689227.75,47.03,1.01,66
smallandmidsizedoffice,NORTHWEST,Office,Compliant,1.0,4,56896,0,56896,40768.0,96.0,89.90000153,1507071.5,28.46,0.5,51
worshipfacility,NORTHWEST,Worship Facility,Compliant,1.0,2,27500,0,27500,27500.0,60.0,52.40000153,654455.1875,14.79,0.54,38
smallandmidsizedoffice,DOWNTOWN,Office,Compliant,1.0,2,36630,0,36630,22000.0,90.0,51.59999847,541943.3125,3.78,0.1,86
smallandmidsizedoffice,DOWNTOWN,Office,Compliant,0.0,3,26830,0,26830,16838.0,,169.0,2139205.25,60.93,2.27,116
smallandmidsizedoffice,DOWNTOWN,Office,Compliant,1.0,5,41920,0,41920,41920.0,95.0,82.69999695,1103594.75,7.69,0.18,110
smallandmidsizedoffice,DOWNTOWN,Office,Compliant,1.0,5,36879,0,36879,44000.0,92.0,96.69999695,1664247.375,26.94,0.73,111
other,DOWNTOWN,Other - Lodging/Residential,Compliant,1.0,6,29820,0,29820,29820.0,,131.3999939,1624991.375,35.72,1.2,112
smallandmidsizedoffice,DOWNTOWN,Office,Compliant,0.0,2,33640,0,33640,27322.0,70.0,131.5,1144343.125,7.52,0.22,111
warehouse,DOWNTOWN,Non-Refrigerated Warehouse,Compliant,1.0,4,43484,0,43484,26416.0,18.0,113.1999969,1567040.75,10.92,0.25,110
mixeduseproperty,DOWNTOWN,Office,Compliant,1.0,3,22480,0,22480,10800.0,,107.0,981009.125,6.84,0.3,116
hotel,DOWNTOWN,Hotel,Compliant,1.0,4,33018,0,33018,23193.0,49.0,312.1000061000001,5153234.0,173.67,5.26,91
smallandmidsizedoffice,DOWNTOWN,Office,Compliant,1.0,2,26510,0,26510,30800.0,91.0,95.30000305,1017753.188,11.18,0.42,46
warehouse,LAKE UNION,Non-Refrigerated Warehouse,Compliant,1.0,1,40028,0,40028,33222.0,80.0,59.40000153,942415.1875,6.76,0.17,78
smallandmidsizedoffice,LAKE UNION,Office,Compliant,1.0,3,44510,18228,26282,26282.0,23.0,268.8999939,2250450.5,15.25,0.34,9
worshipfacility,NORTH,Worship Facility,Compliant,1.0,1,21624,0,21624,21624.0,90.0,67.09999847,730124.5,20.96,0.97,62
ktwelveschool,NORTHWEST,K-12 School,Error - Correct Default Data,1.0,1,42239,0,42239,48799.0,83.0,91.59999847,2410752.0,72.69,1.72,46
ktwelveschool,Northwest,K-12 School,Error - Correct Default Data,1.0,3,51360,0,51360,51026.0,89.0,72.59999847,1535481.375,30.22,0.59,91
smallandmidsizedoffice,DOWNTOWN,Office,Compliant,0.0,3,21600,0,21600,11600.0,,174.6999969,1514428.75,32.42,1.5,23
mixeduseproperty,DOWNTOWN,Multifamily Housing,Compliant,1.0,3,20620,0,20620,10060.0,,83.5,791926.875,20.78,1.01,107
hotel,DOWNTOWN,Hotel,Compliant,1.0,5,40552,0,40552,40552.0,99.0,47.40000153,1377497.25,53.25,1.31,106
smallandmidsizedoffice,DOWNTOWN,Office,Compliant,1.0,3,31432,0,31432,23059.0,,143.8000031,1439572.375,10.04,0.32,107
retailstore,DOWNTOWN,Retail Store,Compliant,1.0,2,24550,0,24550,13500.0,100.0,17.70000076,1031447.625,6.73,0.27,99
ktwelveschool,LAKE UNION,K-12 School,Error - Correct Default Data,1.0,2,61052,0,61052,61052.0,80.0,103.0999985,2549041.25,47.78,0.78,16
other,CENTRAL,Social/Meeting Hall,Compliant,1.0,3,25864,0,25864,13364.0,,91.19999695,1028277.313,34.61,1.34,108
other,NORTHEAST,Other - Lodging/Residential,Compliant,1.0,3,20686,0,20686,20686.0,,116.0,1321763.125,42.71,2.06,92
residencehall,NORTHEAST,Residence Hall/Dormitory,Compliant,1.0,3,22124,0,22124,22124.0,82.0,92.5,652060.0,4.45,0.2,87
residencehall,NORTHEAST,Residence Hall/Dormitory,Compliant,1.0,3,27487,0,27487,27487.0,82.0,98.69999695,1753311.875,65.95,2.4,90
residencehall,NORTHEAST,Residence Hall/Dormitory,Compliant,1.0,4,23616,0,23616,23616.0,55.0,145.6999969,1771038.0,53.65,2.27,90
residencehall,NORTHEAST,Residence Hall/Dormitory,Compliant,1.0,3,33448,0,33448,33448.0,78.0,100.8000031,1073833.25,6.96,0.21,40
mixeduseproperty,EAST,Other - Recreation,Compliant,0.0,2,29508,7120,22388,11074.0,,193.6000061,2506557.5,81.24,2.75,11
seniorcarecommunity,CENTRAL,Senior Care Community,Compliant,1.0,2,74840,0,74840,74840.0,48.0,237.5,8485438.0,249.46,3.33,29
other,CENTRAL,Performing Arts,Compliant,1.0,3,20992,0,20992,24600.0,,138.3999939,2879554.5,104.74,4.99,103
ktwelveschool,CENTRAL,K-12 School,Compliant,1.0,2,22344,0,22344,22344.0,40.0,131.1000061,1663727.125,55.23,2.47,91
university,EAST,College/University,Compliant,1.0,3,31900,0,31900,26000.0,,171.1999969,2737986.0,96.2,3.02,95
other,BALLARD,Other - Recreation,Compliant,1.0,2,29417,0,29417,18489.0,,112.1999969,1816709.0,56.25,1.91,66
mixeduseproperty,DOWNTOWN,Office,Compliant,1.0,3,49299,0,49299,24099.0,,0.0,4821852.0,9.23,0.19,107
mixeduseproperty,EAST,Parking,Compliant,1.0,2,21036,0,21036,11021.0,,285.3999939,2830649.5,78.36,3.73,28
mixeduseproperty,NORTHEAST,Parking,Compliant,1.0,2,32928,0,32928,24288.0,9.0,540.5,5652231.0,39.4,1.2,17
worshipfacility,NORTHEAST,Worship Facility,Non-Compliant,1.0,2,20039,0,20039,20039.0,100.0,16.39999962,104722.2969,0.73,0.04,62
ktwelveschool,NORTHEAST,K-12 School,Error - Correct Default Data,1.0,2,54943,0,54943,57247.0,94.0,70.90000153,2498122.25,83.76,1.52,88
warehouse,GREATER DUWAMISH,Non-Refrigerated Warehouse,Compliant,1.0,1,44476,0,44476,41256.0,33.0,86.09999847,1529218.125,29.7,0.67,56
smallandmidsizedoffice,GREATER DUWAMISH,Office,Compliant,1.0,1,35017,0,35017,19785.0,66.0,111.8000031,1394293.5,27.06,0.77,47
residencehall,NORTHEAST,Residence Hall/Dormitory,Compliant,1.0,3,29084,0,29084,26000.0,66.0,116.5,1741865.25,60.83,2.09,66
worshipfacility,SOUTHEAST,Worship Facility,Compliant,1.0,2,22952,0,22952,22962.0,98.0,36.70000076,545136.5,19.28,0.84,53
warehouse,GREATER DUWAMISH,Non-Refrigerated Warehouse,Compliant,1.0,1,21040,0,21040,21040.0,43.0,60.09999847,657383.1875,19.14,0.91,40
warehouse,GREATER DUWAMISH,Non-Refrigerated Warehouse,Compliant,1.0,2,28032,0,28032,30000.0,52.0,89.40000153,1539819.875,46.61,1.66,65
distributioncenter,GREATER DUWAMISH,Distribution Center,Compliant,1.0,1,25620,0,25620,25620.0,82.0,43.09999847,652579.875,20.46,0.8,42
warehouse,DOWNTOWN,Non-Refrigerated Warehouse,Compliant,1.0,3,33238,0,33238,33238.0,14.0,154.1999969,1632472.0,11.38,0.34,24
ktwelveschool,EAST,K-12 School,Compliant,1.0,4,27800,0,27800,11093.0,8.0,220.1999969,1275996.25,38.36,1.38,104
supermarketgrocerystore,SOUTHWEST,Supermarket/Grocery Store,Compliant,1.0,1,33706,0,33706,31746.0,22.0,661.4000244,8992072.0,206.33,6.12,18
mixeduseproperty,MAGNOLIA / QUEEN ANNE,Non-Refrigerated Warehouse,Compliant,1.0,2,37600,0,37600,18400.0,,98.0,2477406.25,93.55,2.49,55
ktwelveschool,NORTHWEST,K-12 School,Compliant,1.0,1,42128,0,42128,42128.0,93.0,92.90000153,1869043.875,49.55,1.18,62
ktwelveschool,BALLARD,K-12 School,Error - Correct Default Data,1.0,2,44753,0,44753,46545.0,96.0,67.19999695,1817756.125,61.25,1.37,84
other,EAST,Other,Compliant,1.0,3,33708,0,33708,33708.0,,62.20000076,835610.875,19.61,0.58,104
other,North,Other,Compliant,1.0,2,47237,0,47237,47661.0,,395.0,5996179.5,41.7,0.88,68
ktwelveschool,BALLARD,K-12 School,Error - Correct Default Data,1.0,2,57298,0,57298,60882.0,91.0,86.69999695,1681189.25,11.06,0.19,27
worshipfacility,NORTHEAST,Worship Facility,Compliant,1.0,3,26373,0,26373,26373.0,75.0,69.09999847,1172287.125,38.18,1.45,78
smallandmidsizedoffice,CENTRAL,Office,Compliant,6.0,2,75868,0,75868,50379.0,,149.1999969,3605749.75,25.14,0.33,60
mixeduseproperty,EAST,Other - Entertainment/Public Assembly,Compliant,1.0,2,21656,0,21656,5656.0,,148.1000061,1607972.25,51.89,2.4,69
distributioncenter,MAGNOLIA / QUEEN ANNE,Distribution Center,Compliant,1.0,3,23040,0,23040,23040.0,,64.40000153,472415.4063,2.94,0.13,95
other,MAGNOLIA / QUEEN ANNE,Other,Compliant,1.0,2,36771,0,36771,34856.0,,486.5,5400237.5,37.97,1.03,60
warehouse,GREATER DUWAMISH,Non-Refrigerated Warehouse,Compliant,1.0,1,24024,0,24024,14314.0,,52.90000153,404484.4063,2.62,0.11,39
warehouse,GREATER DUWAMISH,Non-Refrigerated Warehouse,Compliant,1.0,1,42420,0,42420,27420.0,34.0,51.29999924,1129170.375,29.39,0.69,63
distributioncenter,GREATER DUWAMISH,Distribution Center,Compliant,1.0,1,36982,0,36982,34382.0,,27.70000076,405866.9063,6.88,0.19,37
warehouse,GREATER DUWAMISH,Non-Refrigerated Warehouse,Compliant,1.0,2,23400,0,23400,20002.0,,61.09999847,454896.5,3.06,0.13,52
other,MAGNOLIA / QUEEN ANNE,Other,Compliant,1.0,2,30720,0,30720,28120.0,,104.0999985,1915150.75,67.15,2.19,68
warehouse,GREATER DUWAMISH,Non-Refrigerated Warehouse,Compliant,1.0,1,23232,0,23232,23232.0,,17.20000076,127374.0,0.89,0.04,44
warehouse,GREATER DUWAMISH,Non-Refrigerated Warehouse,Compliant,1.0,1,35046,0,35046,32546.0,100.0,88.69999695,1092979.75,17.65,0.5,42
refrigeratedwarehouse,GREATER DUWAMISH,Refrigerated Warehouse,Compliant,1.0,1,25577,0,25577,13349.0,,94.0,883072.875,14.19,0.55,55
warehouse,GREATER DUWAMISH,Non-Refrigerated Warehouse,Compliant,1.0,1,43380,0,43380,42844.0,89.0,30.29999924,412764.8125,2.82,0.07,42
smallandmidsizedoffice,LAKE UNION,Office,Compliant,1.0,3,20410,0,20410,20410.0,8.0,293.3999939,2827857.0,77.84,3.81,21
smallandmidsizedoffice,NORTHWEST,Office,Compliant,1.0,3,24696,6300,18396,18396.0,87.0,106.5,624125.625,4.35,0.18,33
ktwelveschool,NORTHWEST,K-12 School,Error - Correct Default Data,1.0,1,45174,0,45174,45174.0,84.0,88.90000153,2205570.75,68.89,1.52,60
worshipfacility,NORTHWEST,Worship Facility,Compliant,1.0,1,24955,0,24955,24955.0,47.0,59.29999924,773357.0,21.87,0.88,14
other,Central,Other/Specialty Hospital,Compliant,1.0,3,34074,0,34074,34074.0,,487.7000122,8652913.0,286.33,8.4,25
worshipfacility,North,Worship Facility,Compliant,1.0,2,76475,0,76475,45442.0,,42.20000076,1913404.25,67.33,0.88,55
ktwelveschool,North,K-12 School,Compliant,1.0,2,32961,0,32961,32961.0,86.0,83.09999847,1719595.125,62.94,1.91,28
other,NORTHWEST,Library,Compliant,1.0,1,27376,14570,12806,12806.0,,203.1999969,1155795.125,26.67,0.97,12
ktwelveschool,CENTRAL,K-12 School,Compliant,1.0,1,109794,0,109794,109794.0,87.0,59.59999847,3657784.25,115.34,1.05,66
other,Central,Other - Lodging/Residential,Compliant,1.0,3,25200,0,25200,25200.0,,82.0,1407294.875,53.02,2.1,105
other,EAST,"Repair Services (Vehicle, Shoe, Locksmith, etc)",Compliant,1.0,2,22320,0,22320,22320.0,,23.70000076,230988.9063,4.8,0.22,109
mixeduseproperty,EAST,Office,Compliant,1.0,3,24000,0,24000,12000.0,,118.0,952583.5,9.09,0.38,104
smallandmidsizedoffice,EAST,Office,Compliant,1.0,3,23422,0,23422,23422.0,65.0,159.1000061,2902229.0,128.07,5.47,96
other,EAST,Urgent Care/Clinic/Other Outpatient,Compliant,5.0,2,38879,11328,27551,38879.0,,281.7000122,3564727.5,28.79,0.74,41
mixeduseproperty,EAST,Multifamily Housing,Compliant,1.0,5,53034,14625,38409,22486.0,93.0,218.6000061,3518099.75,83.65,1.58,18
warehouse,EAST,Non-Refrigerated Warehouse,Compliant,1.0,2,23040,0,23040,23040.0,99.0,10.30000019,79967.89844,0.87,0.04,96
warehouse,EAST,Non-Refrigerated Warehouse,Compliant,1.0,2,61880,0,61880,61880.0,66.0,30.70000076,604190.125,4.15,0.07,58
smallandmidsizedoffice,EAST,Office,Compliant,1.0,2,27938,0,27938,13917.0,97.0,115.9000015,1002986.375,7.31,0.26,91
other,NORTHEAST,Other - Services,Compliant,1.0,2,21600,0,21600,32580.0,,120.6999969,1623657.0,11.32,0.52,92
other,NORTHEAST,Other,Compliant,1.0,3,27908,0,27908,21886.0,,198.3999939,2182493.0,63.22,2.27,87
ktwelveschool,CENTRAL,K-12 School,Compliant,1.0,2,30562,0,30562,30562.0,69.0,107.8000031,1824440.125,55.73,1.82,16
retailstore,DOWNTOWN,Retail Store,Compliant,1.0,3,54969,0,54969,54969.0,67.0,202.6000061,3770784.25,39.31,0.72,16
ktwelveschool,CENTRAL,K-12 School,Compliant,1.0,2,36825,0,36825,44340.0,,60.29999924,1892122.25,51.14,1.39,65
smallandmidsizedoffice,EAST,Office,Compliant,1.0,3,25834,0,25834,31822.0,73.0,157.3000031,2223401.5,54.02,2.09,58
worshipfacility,EAST,Worship Facility,Compliant,1.0,1,37700,0,37700,52225.0,38.0,115.6999969,4195549.5,150.23,3.98,87
ktwelveschool,EAST,K-12 School,Error - Correct Default Data,1.0,2,27273,0,27273,27273.0,90.0,90.90000153,1436271.0,46.7,1.71,91
mixeduseproperty,Central,Multifamily Housing,Compliant,1.0,6,97229,0,97229,45300.0,100.0,53.29999924,1056507.75,7.12,0.07,12
smallandmidsizedoffice,NORTHWEST,Office,Compliant,1.0,3,25111,0,25111,14256.0,77.0,103.0,1060040.75,24.97,0.99,34
worshipfacility,MAGNOLIA / QUEEN ANNE,Worship Facility,Compliant,1.0,2,31805,0,31805,31805.0,10.0,90.30000305,1888861.125,68.39,2.15,63
ktwelveschool,MAGNOLIA / QUEEN ANNE,K-12 School,Compliant,1.0,1,20811,0,20811,20811.0,95.0,124.9000015,1441620.0,43.97,2.11,63
warehouse,GREATER DUWAMISH,Non-Refrigerated Warehouse,Compliant,1.0,2,22058,0,22058,12644.0,1.0,209.89999390000003,2235498.0,66.43,3.01,49
refrigeratedwarehouse,GREATER DUWAMISH,Refrigerated Warehouse,Compliant,1.0,1,22890,0,22890,43452.0,,615.0,9844836.0,119.76,5.23,46
other,GREATER DUWAMISH,Other,Compliant,1.0,5,36000,0,36000,36000.0,,58.29999924,1270850.625,43.04,1.2,109
distributioncenter,GREATER DUWAMISH,Distribution Center,Compliant,1.0,1,28320,0,28320,28320.0,1.0,414.3999939,4403066.5,67.96,2.4,45
worshipfacility,NORTHEAST,Worship Facility,Compliant,1.0,1,29079,0,29079,29079.0,78.0,70.30000305,930746.875,22.18,0.76,61
smallandmidsizedoffice,EAST,Office,Compliant,1.0,3,28848,9616,19232,19232.0,82.0,125.6999969,769771.8125,5.07,0.18,34
smallandmidsizedoffice,Ballard,Office,Compliant,1.0,2,20535,0,20535,13600.0,7.0,218.1999969,1964622.625,38.71,1.89,28
laboratory,MAGNOLIA / QUEEN ANNE,Laboratory,Compliant,1.0,2,43025,0,43025,29527.0,,503.39999389999986,10148279.0,255.97,5.95,31
warehouse,GREATER DUWAMISH,Non-Refrigerated Warehouse,Compliant,1.0,1,30800,0,30800,30800.0,65.0,49.5,485971.0,3.39,0.11,51
mixeduseproperty,EAST,Multifamily Housing,Compliant,1.0,3,22168,0,22168,11084.0,,182.8999939,1904848.25,49.44,2.23,116
warehouse,GREATER DUWAMISH,Non-Refrigerated Warehouse,Compliant,1.0,1,37400,0,37400,27271.0,73.0,74.40000153,909543.1875,7.8,0.21,94
smallandmidsizedoffice,DOWNTOWN,Office,Compliant,1.0,11,68452,0,68452,61665.0,79.0,182.6000061,3979629.5,26.37,0.39,16
ktwelveschool,NORTHEAST,K-12 School,Compliant,1.0,3,97500,0,97500,97500.0,97.0,66.80000305,4314753.5,156.45,1.6,92
smallandmidsizedoffice,MAGNOLIA / QUEEN ANNE,Office,Compliant,1.0,5,54015,0,54015,54015.0,75.0,175.6000061,3020001.5,21.05,0.39,34
restaurant,DOWNTOWN,Other - Restaurant/Bar,Compliant,1.0,13,42000,0,42000,26554.0,,333.1000061000001,7762660.5,273.91,6.52,31
largeoffice,DOWNTOWN,Office,Compliant,0.0,24,119701,0,119701,102878.0,67.0,219.89999390000003,8382140.5,58.44,0.49,34
other,NORTH,Library,Compliant,1.0,1,24697,0,24697,15300.0,,162.8999939,1395016.125,29.18,1.18,51
university,CENTRAL,College/University,Compliant,2.0,1,57468,0,57468,67750.0,,124.4000015,3778965.75,89.8,1.56,3
retailstore,DOWNTOWN,Retail Store,Compliant,1.0,3,103000,0,103000,103000.0,89.0,141.0,5390147.5,81.18,0.79,25
supermarketgrocerystore,SOUTHWEST,Supermarket/Grocery Store,Compliant,1.0,1,37864,0,37864,37864.0,61.0,523.9000244,8257472.5,176.75,4.67,8
supermarketgrocerystore,EAST,Supermarket/Grocery Store,Compliant,1.0,2,66497,0,66497,66497.0,84.0,433.7000122,9290214.0,72.02,1.08,66
retailstore,MAGNOLIA / QUEEN ANNE,Retail Store,Compliant,1.0,4,34010,0,34010,38428.0,,295.1000061000001,3611326.75,24.82,0.73,10
supermarketgrocerystore,MAGNOLIA / QUEEN ANNE,Supermarket/Grocery Store,Compliant,1.0,4,45980,0,45980,45980.0,79.0,439.79998780000005,8573323.0,193.36,4.21,10
retailstore,EAST,Retail Store,Compliant,0.0,3,45743,0,45743,45243.0,88.0,316.3999939,5227773.5,83.45,1.82,20
other,CENTRAL,Fitness Center/Health Club/Gym,Compliant,1.0,1,45000,0,45000,45000.0,,136.8000031,3769240.5,137.66,3.06,25
warehouse,GREATER DUWAMISH,Non-Refrigerated Warehouse,Compliant,1.0,4,72859,0,72859,72859.0,55.0,66.5,1577083.25,12.43,0.17,112
ktwelveschool,SOUTHEAST,K-12 School,Error - Correct Default Data,1.0,2,138705,0,138705,138705.0,84.0,85.69999695,5344758.0,124.77,0.9,7
mixeduseproperty,GREATER DUWAMISH,Other,Compliant,1.0,3,21947,0,21947,14877.0,,139.3000031,1658135.375,37.83,1.72,12
medicaloffice,NORTHEAST,Medical Office,Compliant,1.0,0,30287,0,30287,28050.0,32.0,220.6000061,2279632.5,32.72,1.08,56
smallandmidsizedoffice,NORTHEAST,Office,Compliant,1.0,0,21931,0,21931,31845.0,32.0,233.3000031,4292216.0,145.11,6.62,56
smallandmidsizedoffice,DOWNTOWN,Office,Compliant,1.0,6,73102,0,73102,92723.0,84.0,151.8000031,4483478.0,30.03,0.41,31
mixeduseproperty,EAST,Parking,Compliant,1.0,2,140823,59401,81422,89820.0,,58.90000153,2778832.75,28.85,0.2,100
mixeduseproperty,GREATER DUWAMISH,Office,Compliant,5.0,1,87458,0,87458,41097.0,,204.3000031,9271981.0,270.63,3.09,50
smallandmidsizedoffice,LAKE UNION,Office,Compliant,1.0,1,26263,0,26263,26263.0,64.0,199.8999939,1671740.25,11.4,0.43,23
other,GREATER DUWAMISH,Other,Non-Compliant,1.0,2,39212,0,39212,39212.0,,5.8000001910000005,72370.39844,0.5,0.01,110
other,CENTRAL,Other - Recreation,Compliant,0.0,1,21400,0,21400,11737.0,,528.2000122,5427452.5,158.6,7.41,48
supermarketgrocerystore,MAGNOLIA / QUEEN ANNE,Supermarket/Grocery Store,Compliant,1.0,4,33997,0,33997,33997.0,23.0,796.0999756,9086338.0,94.63,2.78,13
mixeduseproperty,DOWNTOWN,Office,Compliant,1.0,6,74211,0,74211,33279.0,97.0,71.5,1438856.625,9.46,0.13,114
warehouse,SOUTHEAST,Non-Refrigerated Warehouse,Compliant,1.0,2,45700,0,45700,293707.0,99.0,15.80000019,1547490.125,15.5,0.34,28
ktwelveschool,MAGNOLIA / QUEEN ANNE,K-12 School,Missing Data,1.0,1,116101,0,116101,119685.0,,0.0,0.0,265.21,2.28,64
residencehall,NORTHEAST,Residence Hall/Dormitory,Compliant,1.0,5,136758,0,136758,207017.0,90.0,70.09999847,6662918.5,175.46,1.28,4
residencehall,NORTHEAST,Residence Hall/Dormitory,Compliant,1.0,7,192259,0,192259,188118.0,72.0,116.4000015,9286532.0,191.97,1.0,4
other,GREATER DUWAMISH,Other - Utility,Compliant,2.0,2,137138,0,137138,138602.0,,126.3000031,5574345.0,38.17,0.28,4
retailstore,MAGNOLIA / QUEEN ANNE,Retail Store,Compliant,1.0,3,43832,0,43832,24588.0,67.0,165.8999939,4085534.75,144.41,3.29,98
worshipfacility,NORTHEAST,Worship Facility,Compliant,1.0,2,70292,0,70292,70292.0,37.0,61.09999847,2145036.25,57.59,0.82,8
ktwelveschool,EAST,K-12 School,Compliant,1.0,2,35780,0,35780,38000.0,22.0,204.6999969,2962615.25,51.59,1.44,2
