PrimaryPropertyType,Neighborhood,LargestPropertyUseType,ComplianceStatus,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),LargestPropertyUseTypeGFA,ENERGYSTARScore,SourceEUIWN(kBtu/sf),SiteEnergyUseWN(kBtu),TotalGHGEmissions,GHGEmissionsIntensity,BuildingAge
warehouse,GREATER DUWAMISH,Non-Refrigerated Warehouse,Compliant,1.0,1,20724,0,20724,19224.0,,136.3000031,2085116.625,83.3,4.02,66
other,GREATER DUWAMISH,Manufacturing/Industrial Plant,Compliant,1.0,1,24109,0,24109,24109.0,,618.2999877999998,4747403.5,33.1,1.37,56
refrigeratedwarehouse,GREATER DUWAMISH,Refrigerated Warehouse,Compliant,1.0,1,25375,0,25375,23419.0,,497.5,4069301.5,28.37,1.12,61
warehouse,GREATER DUWAMISH,Non-Refrigerated Warehouse,Compliant,1.0,1,22803,0,22803,19373.0,78.0,77.0,859387.1875,21.5,0.94,31
mixeduseproperty,GREATER DUWAMISH,Office,Compliant,1.0,1,23100,0,23100,11550.0,,351.2000122,4649041.0,157.07,6.8,31
refrigeratedwarehouse,GREATER DUWAMISH,Refrigerated Warehouse,Compliant,1.0,1,41550,0,41550,41550.0,94.0,48.59999847,642645.1875,4.48,0.11,65
other,GREATER DUWAMISH,Other,Compliant,1.0,2,54170,0,54170,54170.0,,226.0,6052090.0,178.35,3.29,22
ktwelveschool,GREATER DUWAMISH,K-12 School,Error - Correct Default Data,1.0,2,64493,0,64493,64493.0,85.0,87.30000305,2037940.0,28.57,0.44,16
ktwelveschool,SOUTHEAST,K-12 School,Compliant,1.0,2,42252,0,42252,42252.0,49.0,81.30000305,2617491.25,102.35,2.42,104
selfstoragefacility,GREATER DUWAMISH,Self-Storage Facility,Compliant,1.0,1,23100,0,23100,23250.0,,105.4000015,893514.5,13.87,0.6,61
worshipfacility,SOUTHEAST,Worship Facility,Compliant,1.0,3,22895,0,22895,22895.0,96.0,45.5,505585.0,12.92,0.56,35
retailstore,GREATER DUWAMISH,Retail Store,Error - Correct Default Data,1.0,2,54211,17471,36740,30000.0,100.0,113.6999969,1267463.125,8.84,0.16,14
ktwelveschool,SOUTHEAST,K-12 School,Error - Correct Default Data,1.0,1,41428,0,41428,41428.0,90.0,73.69999695,1556431.5,44.27,1.07,55
selfstoragefacility,NORTHEAST,Self-Storage Facility,Compliant,1.0,6,48179,7132,41047,48179.0,,47.5,837795.8125,12.22,0.25,10
warehouse,GREATER DUWAMISH,Non-Refrigerated Warehouse,Compliant,1.0,1,52325,0,52325,52325.0,67.0,41.09999847,919070.8125,18.03,0.34,79
other,GREATER DUWAMISH,"Repair Services (Vehicle, Shoe, Locksmith, etc)",Compliant,1.0,4,20600,0,20600,20600.0,,27.0,318703.1875,9.71,0.47,96
retailstore,GREATER DUWAMISH,Retail Store,Compliant,1.0,1,25880,0,25880,25880.0,100.0,19.79999924,162960.0,1.14,0.04,72
warehouse,GREATER DUWAMISH,Non-Refrigerated Warehouse,Compliant,1.0,1,45842,0,45842,49802.0,99.0,31.39999962,847703.375,12.55,0.27,56
other,GREATER DUWAMISH,Other,Compliant,1.0,1,31365,0,31365,31365.0,,66.90000153,678829.8125,5.09,0.16,44
other,GREATER DUWAMISH,Other,Compliant,1.0,1,32100,0,32100,32100.0,,50.0,904458.125,25.77,0.8,106
