OSEBuildingID,BuildingType,PrimaryPropertyType,PropertyName,Address,City,State,ZipCode,TaxParcelIdentificationNumber,CouncilDistrictCode,Neighborhood,Latitude,Longitude,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,LargestPropertyUseType,LargestPropertyUseTypeGFA,ENERGYSTARScore,SiteEUIWN(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),DefaultData,ComplianceStatus,TotalGHGEmissions,GHGEmissionsIntensity,BuildingAge
21786,NonResidential,Warehouse,(ID21786) 615 S ALASKA,615 S ALASKA ST,Seattle,WA,98108.0,2024049035,2,GREATER DUWAMISH,47.560559999999995,-122.32593,1.0,1,28126,0,28126,"Non-Refrigerated Warehouse, Office",Non-Refrigerated Warehouse,21780.0,44.0,34.40000153,82.30000305,966168.625,0.0,598370.0,272256.0,False,Compliant,18.63,0.66,41
21787,NonResidential,Warehouse,NWCP-SEA OC Bldg,6020 6th Ave S,Seattle,WA,98108.0,2024049036,2,GREATER DUWAMISH,47.54813,-122.32553,1.0,1,35000,0,35000,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,35000.0,53.0,10.80000019,34.0,378714.4063,0.0,378714.0,0.0,False,Compliant,2.64,0.08,52
21792,NonResidential,Warehouse,OTM 162,5964 6th Ave. S,Seattle,WA,98108.0,2024049059,2,GREATER DUWAMISH,47.549479999999996,-122.32536,1.0,1,26150,0,26150,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,26150.0,6.0,50.59999847,117.09999850000001,1322416.75,0.0,815508.0,392900.0,False,Compliant,26.55,1.02,54
21793,NonResidential,Small- and Mid-Sized Office,5950 6th Avenue S. Building,5950 6th Avenue S.,Seattle,WA,98108.0,2024049068,2,GREATER DUWAMISH,47.54974,-122.3261,1.0,2,24000,0,24000,Office,Office,24000.0,73.0,47.90000153,150.3000031,1148448.75,0.0,1088556.0,0.0,False,Compliant,7.59,0.32,49
21794,NonResidential,K-12 School,Peyton,2400 11th Ave East,Seattle,WA,98102.0,2025049007,3,EAST,47.64132,-122.31643999999999,1.0,5,43594,0,43594,K-12 School,K-12 School,40809.0,38.0,66.19999695,134.1999969,2699616.0,0.0,1264732.0,1213313.0,False,Compliant,73.26,1.68,48
21822,NonResidential,Distribution Center,Care Medical Equipment,4135 Stone Way North,Seattle,WA,98103.0,2293900185,4,LAKE UNION,47.65791,-122.34273999999999,1.0,1,28080,0,28080,"Distribution Center, Office",Distribution Center,25580.0,,31.79999924,73.59999847,892651.125,0.0,513012.0,281713.0,False,Compliant,18.54,0.66,104
21879,NonResidential,Senior Care Community,HEALTH AND REHAB OF NORTH SEATTLE,13333 GREENWOOD AVE N,Seattle,WA,98133.0,2426039037,5,NORTHWEST,47.72618,-122.35642,1.0,2,51298,0,51298,Senior Care Community,Senior Care Community,51298.0,85.0,114.0,205.8999939,5847878.5,0.0,2094607.0,3560971.0,False,Compliant,203.73,3.97,62
21883,NonResidential,Worship Facility,Shoreline,102 N 132nd St,Seattle,WA,98133.0,2426039065,5,NORTHWEST,47.72558,-122.3578,1.0,1,22047,0,22047,"Parking, Worship Facility",Worship Facility,22898.0,100.0,11.89999962,37.40000153,272664.4063,0.0,265775.0,0.0,False,Compliant,1.85,0.08,54
21893,NonResidential,Warehouse,South Park,9125 10th Ave S,Seattle,WA,98108.0,2433700015,1,GREATER DUWAMISH,47.5213,-122.32182,1.0,1,31600,0,31600,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,31600.0,3.0,118.09999850000001,232.0,3731853.25,0.0,1633306.0,1730229.0,False,Compliant,103.28,3.27,37
21894,NonResidential,Warehouse,821 WEARHOUSE,821 SO BARTON ST,Seattle,WA,98108.0,2433700068,1,GREATER DUWAMISH,47.52024,-122.32137,1.0,1,35289,0,35289,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,35289.0,63.0,28.60000038,62.09999847,1010737.813,0.0,490823.0,385602.0,False,Compliant,23.9,0.68,9
21896,NonResidential,Warehouse,PNP Properties Building,860 South Cambridge Street,Seattle,WA,98108.0,2433700074,1,GREATER DUWAMISH,47.51899,-122.321,1.0,1,28920,0,28920,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,30000.0,50.0,68.5,91.30000305,2053772.75,0.0,279044.0,1471375.0,False,Compliant,80.09,2.77,35
21897,NonResidential,Warehouse,9243 10TH AVE S (ID21897),9243 10TH AVE S,Seattle,WA,98108.0,2433700075,1,GREATER DUWAMISH,47.5193,-122.3213,1.0,1,22176,0,22176,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,22176.0,60.0,33.70000076,49.29999924,746905.625,0.0,137469.0,598959.0,False,Compliant,32.77,1.48,38
21898,NonResidential,Warehouse,Halfon Candy Company,9229 10th Avenue South,Seattle,WA,98108.0,2433700076,1,GREATER DUWAMISH,47.51968,-122.3212,1.0,1,31300,0,31300,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,31300.0,89.0,12.69999981,28.10000038,398438.5938,0.0,220913.0,141961.0,True,Error - Correct Default Data,9.08,0.29,38
21902,NonResidential,Warehouse,Samson,9928 10th Ave South,Seattle,WA,98108.0,2433700165,1,GREATER DUWAMISH,47.51918,-122.31957,1.0,1,22000,0,22000,"Non-Refrigerated Warehouse, Parking",Non-Refrigerated Warehouse,22000.0,14.0,31.79999924,100.0,700627.625,0.0,700628.0,0.0,True,Error - Correct Default Data,4.88,0.22,37
21904,NonResidential,Small- and Mid-Sized Office,Northgate Exec Center A,115 NE 100th Street,Seattle,WA,98125.0,2434900010,5,NORTH,47.700790000000005,-122.32713999999999,1.0,3,39927,0,39927,"Office, Parking",Office,39541.0,38.0,96.90000153,304.2999878,3832168.5,0.0,3568419.0,0.0,False,Compliant,24.88,0.62,42
21905,NonResidential,Other,Seattle Athletic Club,333 NE 97th,Seattle,WA,98115.0,2434900060,5,NORTH,47.69883,-122.32479,1.0,1,30610,0,30610,"Office, Other - Recreation",Other - Recreation,23320.0,,147.5,291.39999389999997,4513728.0,0.0,1999987.0,2294563.0,False,Compliant,135.81,4.44,37
21907,NonResidential,Medical Office,North Seattle Professional Center,9730 3rd Avenue NE,Seattle,WA,98115.0,2434900090,5,NORTH,47.700070000000004,-122.32533000000001,1.0,2,26930,6350,20580,Medical Office,Medical Office,26930.0,64.0,37.20000076,116.90000149999999,1002995.0,0.0,1002995.0,0.0,False,Compliant,6.99,0.26,36
21909,NonResidential,Medical Office,311 NGT Northgate Med,9800 4th Ave NE,Seattle,WA,98115.0,2434900130,5,NORTH,47.70087,-122.32378999999999,1.0,2,38745,0,38745,"Medical Office, Parking",Medical Office,65069.0,76.0,47.20000076,122.90000149999999,3073612.0,0.0,2251578.0,638800.0,False,Compliant,49.62,1.28,48
21913,NonResidential,Self-Storage Facility,CORRY'S DRYCLEANING (ID21913),4640 UNION BAY PL NE,Seattle,WA,98105.0,2436200935,4,NORTHEAST,47.66353,-122.29505,1.0,2,20296,0,20296,Self-Storage Facility,Self-Storage Facility,20296.0,,42.20000076,132.3999939,855665.125,0.0,855665.0,0.0,False,Compliant,5.97,0.29,57
21916,NonResidential,Mixed Use Property,Union Bay Plaza,4540 Union Bay Plaza NE,Seattle,WA,98105.0,2436201005,4,NORTHEAST,47.662459999999996,-122.29342,1.0,2,22135,0,22135,"Medical Office, Non-Refrigerated Warehouse, Office, Retail Store",Medical Office,10388.0,,59.5,141.1000061,1365716.125,0.0,858099.0,403535.0,False,Compliant,27.41,1.24,71
21917,NonResidential,Medical Office,Lakeview Medical Building,3216 NE 45th Place,Seattle,WA,98105.0,2436201055,4,NORTHEAST,47.66183,-122.29263999999999,1.0,3,38378,0,38378,"Medical Office, Parking",Medical Office,35066.0,86.0,51.5,96.59999847,1807593.875,0.0,729620.0,915985.0,False,Compliant,53.73,1.4,49
21920,NonResidential,Warehouse,Bowman Building 9742,4625 Union Way Place,Seattle,WA,98105.0,2437200015,4,NORTHEAST,47.66294,-122.29521000000001,1.0,2,33576,0,33576,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,33576.0,64.0,43.70000076,70.09999847,1466199.875,0.0,390124.0,885108.0,False,Compliant,49.73,1.48,36
21921,NonResidential,Supermarket / Grocery Store,Safeway 0488 - 45th St,3020 NE 45th St,Seattle,WA,98105.0,2437200030,4,NORTHEAST,47.66205,-122.29545,1.0,1,33005,0,33005,"Parking, Supermarket/Grocery Store",Supermarket/Grocery Store,34982.0,21.0,309.39999389999997,760.2999877999999,10821972.0,0.0,7359683.0,3283070.0,False,Compliant,225.67,6.84,41
21945,NonResidential,Other,First Hill Plaza Retail Building,1300 Madison St,Seattle,WA,98104.0,2560350000,3,EAST,47.61074,-122.32258999999999,1.0,1,20971,0,20971,"Bank Branch, Medical Office, Parking, Retail Store",Parking,23483.0,,33.29999924,104.5,729397.1875,0.0,729397.0,0.0,False,Compliant,5.08,0.24,35
21955,NonResidential,Small- and Mid-Sized Office,Magnolia Center,3214 W McGraw St,Seattle,WA,98199.0,2225039036,7,MAGNOLIA / QUEEN ANNE,47.63981,-122.39907,1.0,3,23910,0,23910,"Office, Retail Store",Office,20000.0,,38.09999847,98.19999695,910117.6875,0.0,678167.0,195410.0,False,Compliant,15.11,0.63,89
21964,NonResidential,Worship Facility,(ID21964) BALLARD BAPTIST CHURCH,2004 NW 63RD ST,Seattle,WA,98107.0,2767601245,6,BALLARD,47.67477,-122.38241000000001,1.0,2,21765,0,21765,Worship Facility,Worship Facility,21765.0,80.0,22.89999962,36.0,498909.0,0.0,119922.0,311468.0,False,Compliant,17.38,0.8,106
22078,NonResidential,Worship Facility,Immaculate Conception Church,820 18th Ave.,Seattle,WA,98122.0,2254502165,3,CENTRAL,47.6101,-122.30838,1.0,2,26560,0,26560,Worship Facility,Worship Facility,26560.0,1.0,69.0,121.09999850000001,1831347.125,0.0,609983.0,1141501.0,False,Compliant,64.88,2.44,115
22095,NonResidential,Warehouse,Culbertson Warehouse,3535 Interlake Ave North,Seattle,WA,98103.0,2264501050,4,LAKE UNION,47.650220000000004,-122.34173999999999,1.0,2,20140,0,20140,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,20140.0,49.0,5.8000001910000005,18.20000076,116486.6016,0.0,116487.0,0.0,False,Compliant,0.81,0.04,59
22139,NonResidential,Retail Store,King Plaza 7101,7101 Martin Luther King Jr Way S,Seattle,WA,98118.0,2724049105,2,GREATER DUWAMISH,47.53846,-122.28305,1.0,2,38845,0,38845,"Parking, Retail Store",Retail Store,38845.0,82.0,178.1000061,364.0,6917280.0,0.0,3290526.0,3626753.0,False,Compliant,215.56,5.55,24
22142,NonResidential,Supermarket / Grocery Store,Safeway 0219 - Othello St,3900 S Othello St,Seattle,WA,98118.0,2724049127,2,GREATER DUWAMISH,47.53747,-122.28308,1.0,1,26092,0,26092,"Parking, Supermarket/Grocery Store",Supermarket/Grocery Store,25946.0,40.0,311.10000610000003,729.7999877999999,8071987.5,0.0,5004995.0,2614450.0,False,Compliant,173.75,6.66,63
